category,property,type,count,values,sources
Date,getTimezoneOffset,number,535,-330; NaN,ep2.adtrafficquality.google; www.youtube.com; www.google.com; coveryourtracks.eff.org; timesofindia.indiatimes.com; ogs.google.com; fingerprint.com
Date,toString,string,34,Fri Mar 13 2026 15:00:00 GMT+0; Fri Mar 13 2026 14:56:41 GMT+0; Thu Jan 01 1970 05:30:00 GMT+0; Wed Apr 07 2027 14:56:25 GMT+0; Fri Mar 13 2026 14:56:46 GMT+0,ep2.adtrafficquality.google; www.youtube.com; www.google.com; browserleaks.com; timesofindia.indiatimes.com
Intl,resolvedOptions,string,171,Asia/Kolkata,www.youtube.com; browserleaks.com; coveryourtracks.eff.org; timesofindia.indiatimes.com; fingerprint.com
audio,AudioContext,string,2,new,browserleaks.com
audio,createAnalyser,string,2,[FP],browserleaks.com
audio,getChannelData,number,36,0,fingerprint.com; firstpartysimulator.org; coveryourtracks.eff.org
canvas,fillText,string,72,Cwm fjordbank gly 😃; Cwm fjordbank glyphs,fingerprint.com; firstpartysimulator.org; coveryourtracks.eff.org
canvas,getContext,string,222,experimental-webgl; webgl2; 2d; moz-webgl; webgl,ep2.adtrafficquality.google; firstpartysimulator.org; www.youtube.com; www.google.com; browserleaks.com; coveryourtracks.eff.org; timesofindia.indiatimes.com; fingerprint.com
canvas,getImageData,string,13,[FP],fingerprint.com; browserleaks.com
canvas,toDataURL,string,105,[FP],fingerprint.com; firstpartysimulator.org; coveryourtracks.eff.org
crypto,getRandomValues,number,49,16; 8; 64; 1,www.youtube.com; www.google.com; platform.twitter.com; timesofindia.indiatimes.com; fingerprint.com
css,matchMedia,string,397,(max-width:740px); (prefers-reduced-motion); (orientation: landscape); (max-width:640px); (max-width: 1200px),www.youtube.com; www.google.com; browserleaks.com; timesofindia.indiatimes.com; ogs.google.com; fingerprint.com
css,supports,string,18,"selector(:has(*)); animation-timing-function,line; backdrop-filter,blur(2px)",fingerprint.com; www.google.com; www.youtube.com
document,URL,string,406,https://www.google.com/search?client=firefox-b-d&q=browserleaks; https://www.google.com/search?client=firefox-b-d&q=http%3A%2F%2F; https://timesofindia.indiatimes.com/; https://timesofindia.indiatimes.com/world/middle-east/us-israel-iran-war-news-live-udates-middle-eas; https://www.youtube.com/embed/?enablejsapi=1&rel=0&autoplay=0&playsinline=1&fs=1&hl=en-IN&embed_conf,timesofindia.indiatimes.com; www.google.com; fingerprint.com; www.youtube.com
document,characterSet,string,94,UTF-8,timesofindia.indiatimes.com; fingerprint.com; amiunique.org
document,compatMode,string,912,CSS1Compat; BackCompat,timesofindia.indiatimes.com; www.google.com; ogs.google.com; fingerprint.com
document,contentType,string,393,text/html,timesofindia.indiatimes.com; www.google.com; ogs.google.com; www.youtube.com
document,cookie,string,12071,; KADUSERCOOKIE=8009606A-DBA5-40EF-91E1-D648004F55C9; chkSecSet=7; DPSync2=1775952000%3A102%7C17734464; geo_continent=AS; geo_country=IN; geo_region=; optout=1; _sharedid=7630dde1-2fcf-4a07-9c42-ed0bd47684ed; _sharedid_cst=znv0HA%3D%3D; _ga_FCN624MN68=GS2.1.s17; KADUSERCOOKIE=8009606A-DBA5-40EF-91E1-D648004F55C9; chkSecSet=4; DPSync2=1775952000%3A102%7C17734464,hbx.media.net; www.youtube.com; www.google.com; browserleaks.com; timesofindia.indiatimes.com; amiunique.org; ogs.google.com; fingerprint.com; ads.pubmatic.com; acdn.adnxs.com; cdn.taboola.com
document,domain,string,163,timesofindia.indiatimes.com; indiatimes.com; amiunique.org; www.youtube.com,timesofindia.indiatimes.com; amiunique.org; www.youtube.com
document,fullscreenEnabled,boolean,2,true,www.youtube.com
document,hidden,boolean,20695,false; true,ep2.adtrafficquality.google; www.youtube.com; www.google.com; timesofindia.indiatimes.com; ogs.google.com; fingerprint.com
document,lastModified,string,45,03/13/2026 14:56:03; 03/13/2026 14:56:47; 03/13/2026 14:56:45,timesofindia.indiatimes.com
document,readyState,string,1484,complete; interactive; loading,hbx.media.net; tsdtocl.com; js-sec.indexww.com; www.youtube.com; ms-cookie-sync.presage.io; amiunique.org; ogs.google.com; timesinternet-d.openx.net; browserleaks.com; s.amazon-adsystem.com; ssum-sec.casalemedia.com; firstpartysimulator.net; acdn.adnxs.com; ep2.adtrafficquality.google; firstpartysimulator.org; b7235a33fd35b8f0b5288e012cc5bd69.safeframe.googlesyndication.com; www.google.com; u.openx.net; platform.twitter.com; accounts.google.com; coveryourtracks.eff.org; timesofindia.indiatimes.com; b53f3cefc1b5b29da6bfa38defeaf6e8.safeframe.googlesyndication.com; ads.pubmatic.com; eus.rubiconproject.com; cdn.taboola.com; fingerprint.com; sync.intentiq.com; sync.inmobi.com
document,referrer,string,2023,; https://amiunique.org/timeline; https://browserleaks.com/proxy; https://timesofindia.indiatimes.com/; https://amiunique.org/,firstpartysimulator.org; www.youtube.com; browserleaks.com; coveryourtracks.eff.org; timesofindia.indiatimes.com; amiunique.org; firstpartysimulator.net; fingerprint.com
